'Sarkozy.reverseRank_realization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.crt_reverseRank_realization' depends on axioms: [propext, Classical.choice, Quot.sound]
'SarkozySubmission.finite_construction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.two_four_squareDifferenceFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.six_elements_in_eighty_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.ranked_word_realization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.geometric_family_exponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.stopping_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.interval_moment_exponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.componentPowers_surplus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.target_exponent_of_interval_certificates' depends on axioms: [propext, Classical.choice, Quot.sound]
'SarkozySubmission.conditional_improved_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sarkozy.exponent_three_fifths' depends on axioms: [propext, Classical.choice, Quot.sound]
'SarkozySubmission.interval_moment_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'SarkozySubmission.unconditional_example' depends on axioms: [propext, Classical.choice, Quot.sound]
